Worker pool: 18 processes (CPU inference per worker)
Device: cpu
Total timesteps: 100,000,000
Rollout steps: 16398
Number of updates: 6098
Model parameters: 2,440,409
------------------------------------------------------------
Update 26/6098 | Steps: 426,348 | SPS: 37 | LWR: 63% | Pool:554 MCTS:53 | Games: 589 | W: 49% | B: 51% | D: 0% | Len: 54 | PL: -0.0713 | VL: 0.1060 | Ent: 1.0559 | Time: 03:09:47
Update 27/6098 | Steps: 442,746 | SPS: 37 | LWR: 57% | Pool:524 MCTS:80 | Games: 587 | W: 47% | B: 53% | D: 0% | Len: 55 | PL: -0.0731 | VL: 0.1090 | Ent: 1.0424 | Time: 03:17:11
Update 28/6098 | Steps: 459,144 | SPS: 37 | LWR: 61% | Pool:556 MCTS:45 | Games: 583 | W: 46% | B: 54% | D: 0% | Len: 55 | PL: -0.0714 | VL: 0.1095 | Ent: 1.0364 | Time: 03:24:26
Update 29/6098 | Steps: 475,542 | SPS: 37 | LWR: 59% | Pool:561 MCTS:56 | Games: 600 | W: 50% | B: 50% | D: 0% | Len: 53 | PL: -0.0731 | VL: 0.1037 | Ent: 1.0280 | Time: 03:31:47
Update 30/6098 | Steps: 491,940 | SPS: 37 | LWR: 60% | Pool:540 MCTS:60 | Games: 583 | W: 47% | B: 53% | D: 1% | Len: 55 | PL: -0.0724 | VL: 0.1019 | Ent: 1.0426 | Time: 03:39:07
Update 31/6098 | Steps: 508,338 | SPS: 37 | LWR: 58% | Pool:544 MCTS:54 | Games: 580 | W: 52% | B: 48% | D: 1% | Len: 55 | PL: -0.0744 | VL: 0.1066 | Ent: 1.0498 | Time: 03:46:23
Update 32/6098 | Steps: 524,736 | SPS: 37 | LWR: 60% | Pool:540 MCTS:68 | Games: 591 | W: 48% | B: 51% | D: 0% | Len: 54 | PL: -0.0725 | VL: 0.0988 | Ent: 1.0354 | Time: 03:53:34
Update 33/6098 | Steps: 541,134 | SPS: 37 | LWR: 55% | Pool:545 MCTS:59 | Games: 586 | W: 45% | B: 54% | D: 0% | Len: 55 | PL: -0.0762 | VL: 0.1059 | Ent: 1.0625 | Time: 04:00:52
Update 34/6098 | Steps: 557,532 | SPS: 37 | LWR: 58% | Pool:544 MCTS:65 | Games: 591 | W: 50% | B: 50% | D: 0% | Len: 54 | PL: -0.0752 | VL: 0.1058 | Ent: 1.0683 | Time: 04:08:19
Update 35/6098 | Steps: 573,930 | SPS: 37 | LWR: 51% | Pool:539 MCTS:64 | Games: 585 | W: 47% | B: 53% | D: 0% | Len: 55 | PL: -0.0766 | VL: 0.1057 | Ent: 1.0758 | Time: 04:15:44
Update 36/6098 | Steps: 590,328 | SPS: 37 | LWR: 54% | Pool:540 MCTS:57 | Games: 581 | W: 51% | B: 49% | D: 0% | Len: 55 | PL: -0.0752 | VL: 0.1063 | Ent: 1.0659 | Time: 04:22:59
Update 37/6098 | Steps: 606,726 | SPS: 37 | LWR: 54% | Pool:529 MCTS:61 | Games: 572 | W: 50% | B: 50% | D: 0% | Len: 56 | PL: -0.0761 | VL: 0.1075 | Ent: 1.0717 | Time: 04:30:24
Update 38/6098 | Steps: 623,124 | SPS: 37 | LWR: 53% | Pool:539 MCTS:65 | Games: 586 | W: 49% | B: 51% | D: 0% | Len: 55 | PL: -0.0759 | VL: 0.1019 | Ent: 1.0788 | Time: 04:37:49
Update 39/6098 | Steps: 639,522 | SPS: 37 | LWR: 57% | Pool:549 MCTS:53 | Games: 584 | W: 46% | B: 54% | D: 0% | Len: 55 | PL: -0.0746 | VL: 0.1088 | Ent: 1.0610 | Time: 04:45:08
Update 40/6098 | Steps: 655,920 | SPS: 37 | LWR: 56% | Pool:541 MCTS:59 | Games: 583 | W: 49% | B: 50% | D: 0% | Len: 55 | PL: -0.0753 | VL: 0.1104 | Ent: 1.0605 | Time: 04:52:30
Update 41/6098 | Steps: 672,318 | SPS: 37 | LWR: 54% | Pool:555 MCTS:60 | Games: 597 | W: 48% | B: 52% | D: 0% | Len: 54 | PL: -0.0745 | VL: 0.1046 | Ent: 1.0623 | Time: 04:59:51
Update 42/6098 | Steps: 688,716 | SPS: 37 | LWR: 56% | Pool:548 MCTS:56 | Games: 586 | W: 48% | B: 52% | D: 0% | Len: 55 | PL: -0.0754 | VL: 0.1125 | Ent: 1.0624 | Time: 05:07:13
Update 43/6098 | Steps: 705,114 | SPS: 37 | LWR: 57% | Pool:557 MCTS:49 | Games: 589 | W: 49% | B: 51% | D: 0% | Len: 55 | PL: -0.0765 | VL: 0.1127 | Ent: 1.0619 | Time: 05:14:36
Update 44/6098 | Steps: 721,512 | SPS: 37 | LWR: 55% | Pool:530 MCTS:70 | Games: 582 | W: 51% | B: 49% | D: 0% | Len: 55 | PL: -0.0757 | VL: 0.1056 | Ent: 1.0631 | Time: 05:22:02
Update 45/6098 | Steps: 737,910 | SPS: 37 | LWR: 58% | Pool:532 MCTS:65 | Games: 579 | W: 52% | B: 48% | D: 0% | Len: 55 | PL: -0.0753 | VL: 0.1057 | Ent: 1.0475 | Time: 05:29:26
